City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,olean,42.0776,-78.4297,4.32,55,0,2.57,US,1707240461
178,bokovskaya,49.229,41.8306,-3.97,89,24,3.82,RU,1707240461
179,namibe,-15.1961,12.1522,25.15,81,100,4.57,AO,1707240364
180,flying fish cove,-10.4217,105.6791,23.82,94,57,1.03,CX,1707240461
181,ballina,-28.8667,153.5667,23.21,88,14,2.31,AU,1707240462
182,surahammar,59.7072,16.2219,-3.41,73,100,3.99,SE,1707240462
183,kongsvinger,60.1905,11.9977,-8.63,95,100,2.41,NO,1707240462
184,port lincoln,-34.7333,135.8667,16.03,77,0,3.65,AU,1707240417
185,bengkulu,-3.8004,102.2655,24.15,89,100,1.93,ID,1707240463
186,baymak,52.5933,58.3225,-2.31,97,100,7.53,RU,1707240463
187,cill airne,52.05,-9.5167,6.03,100,100,2.57,IE,1707240463
188,weno,7.4515,151.8468,27.51,66,25,7.72,FM,1707240464
189,montenegro,42.5,19.3,9.7,71,40,1.54,ME,1707240464
190,susuman,62.7833,148.1667,-33.34,99,97,1.34,RU,1707240464
191,east london,-33.0153,27.9116,25.52,73,0,6.69,ZA,1707240464
192,codrington,-38.2667,141.9667,12.39,85,5,1.0,AU,1707240464
193,selfoss,63.9331,-20.9971,-9.96,82,41,3.39,IS,1707240207
194,belle fourche,44.6714,-103.8522,15.83,47,44,2.04,US,1707240465
195,constantia,44.1833,28.65,11.5,59,26,5.32,RO,1707240227
196,longyearbyen,78.2186,15.6401,-9.09,57,20,7.72,SJ,1707240465
197,el calafate,-50.3408,-72.2768,14.73,52,49,3.35,AR,1707240466
198,sitka,57.0531,-135.33,1.94,87,100,1.54,US,1707240215
199,seme,15.1942,-12.9448,37.42,5,0,5.73,SN,1707240466
200,wanparti,16.3667,78.0667,27.57,41,8,2.82,IN,1707240466
201,alice springs,-23.7,133.8833,23.75,62,40,6.69,AU,1707240466
202,choibalsan,48.0667,114.5,-20.43,90,4,3.32,MN,1707240467
203,port mathurin,-19.6833,63.4167,27.14,67,22,7.55,MU,1707240365
204,turki,51.987,43.2731,-5.68,93,100,6.3,RU,1707240467
205,kamensk-ural'skiy,56.4185,61.9329,-1.71,92,100,7.83,RU,1707240467
206,santa cruz,-17.8,-63.1667,34.03,52,20,7.72,BO,1707240230
207,prado,-17.3411,-39.2208,29.55,63,51,4.29,BR,1707240468
208,nabire,-3.3667,135.4833,24.84,93,100,0.65,ID,1707240468
209,brasileia,-11.0161,-68.7481,30.25,70,75,4.12,BR,1707240468
210,saipan,15.1355,145.701,25.39,73,100,4.12,MP,1707240251
211,kailua-kona,19.6406,-155.9956,20.28,80,40,2.57,US,1707240468
212,rurrenabaque,-14.4413,-67.5278,30.83,74,75,3.6,BO,1707240468
213,holualoa,19.6228,-155.9522,18.21,81,40,2.57,US,1707240469
214,kaa-khem,51.6833,94.7333,-28.11,95,14,1.31,RU,1707240469
215,lihue,21.9789,-159.3672,22.77,71,100,7.2,US,1707240469
216,new norfolk,-42.7826,147.0587,13.72,84,24,1.0,AU,1707240469
217,ketchikan,55.3422,-131.6461,1.26,86,100,0.0,US,1707240470
218,prince rupert,54.3161,-130.3201,1.83,100,100,4.12,CA,1707240301
219,sur,22.5667,59.5289,22.66,56,100,1.67,OM,1707240470
220,trincomalee,8.5711,81.2335,26.6,72,22,6.13,LK,1707240470
221,pandan,14.0453,124.1694,24.84,83,21,3.51,PH,1707240470
222,dingli,35.8614,14.3822,14.09,88,20,2.57,MT,1707240471
223,chifeng,42.2683,118.9636,-8.54,64,0,0.48,CN,1707240471
224,vangaindrano,-23.35,47.6,23.65,92,84,3.44,MG,1707240471
225,mocorito,25.4833,-107.9167,21.78,21,61,1.42,MX,1707240471
226,qurayyat,31.3318,37.3428,12.1,50,40,2.57,SA,1707240471
227,egilsstadir,65.2653,-14.3948,-5.05,74,75,2.57,IS,1707240471
228,fale old settlement,-9.3852,-171.2468,27.98,83,100,14.41,TK,1707240472
229,tazacorte,28.629,-17.9293,22.86,51,0,2.06,ES,1707240472
230,peru,40.7537,-86.0689,3.12,85,98,3.43,US,1707240472
231,al lagowa,11.4,29.1333,24.93,13,6,4.77,SD,1707240319
232,karratha,-20.7377,116.8463,27.04,70,33,2.98,AU,1707240472
